digestive_rate,total_rate,mental_sig,gen_sig,mental_rate,injury_sig,gen_rate,myr_rate,total_fem_rate,total_male_rate,cancer_sig,ren_rate,ren_sig,rsp_sig,ton_rate,injury_rate,total_male_sig,can_rate,area_code,infc_rate,myr_sig,infc_sig,digestive_sig,rsp_rate,total_sig,total_fem_sig,ton_sig,crc_sig,msc_sig,msc_rate,crc_rate
4065.861853,32469.24264,2,3,1016.146926,3,1940.577156,null,2,2,2,null,3,3,203.9718017,2715.301125,30812.19532,2134.031811,15700,null,3,3,3,1929.157001,2,33744.17973,3,1,3,2035.969811,2130.477136
2008.055965,37885.16534,3,3,null,3,null,null,3,3,2,null,3,3,null,null,37500.54528,4613.736719,58260,null,3,3,2,null,3,38639.04276,3,3,2,4036.652901,null
3343.414381,35494.88861,3,3,null,2,1695.9039,946.6393279,3,3,2,null,3,2,194.4895626,3547.927897,31653.11759,2196.833964,15750,null,3,3,2,2589.244366,3,39343.01788,3,3,3,2329.873487,2366.544422
5648.304379,48612.93945,3,3,null,2,2208.385973,2312.122707,2,2,3,null,3,2,683.70711,4423.182901,47244.88514,2817.956962,15800,null,2,3,2,4562.601737,2,49531.96465,2,2,2,3269.127993,4499.934728
3775.722439,32947.45061,3,3,1354.132398,2,2154.493806,1079.153812,3,2,2,null,3,2,520.3126339,3320.737708,27047.74767,1875.917133,15850,null,3,3,3,3069.836469,2,38803.0371,2,2,3,1880.322571,2956.53094
3448.490715,34515.8793,2,2,2331.232936,3,2694.303774,859.3865475,2,2,2,3478.795216,2,2,150.6943773,2612.141354,31503.49992,2400.077126,15900,415.6548799,2,2,2,1398.714192,2,37775.77163,2,2,3,2164.994692,1971.224631
3067.193341,33510.15159,2,2,2629.327772,2,1627.762526,1640.473879,2,2,2,3939.811679,2,2,268.2009469,1965.616266,29301.30967,2348.119342,15950,467.6293755,2,2,2,1401.980812,2,37373.99289,3,2,2,1703.245405,1836.360653
3344.46277,29501.03775,2,3,971.5132316,3,1619.837125,null,2,2,3,null,3,3,241.0106274,null,26715.07905,2830.315031,16100,null,3,3,2,null,2,32500.69921,3,1,3,1848.516797,1858.36668
4137.837965,32973.74599,2,2,1249.634702,2,1681.24634,1727.386708,2,2,2,null,3,2,370.3679145,3064.157592,31331.38111,2173.352235,16150,718.9732588,2,1,3,2241.086293,2,34686.44644,2,2,3,2267.758997,2526.472858
3295.147919,26691.47217,2,2,737.7094101,3,1413.596214,1043.451008,2,2,2,null,3,3,353.5554054,2940.92186,24903.44449,1913.689839,16180,null,3,3,2,1778.346211,2,28066.8122,2,2,2,1681.54219,1749.135454
